Id,SalePrice
1461,116650.14243200867
1462,158486.0922578173
1463,185428.39551831209
1464,202868.83288028347
1465,207906.05831208653
1466,172728.6547775688
1467,182305.7811475846
1468,165250.36089538038
1469,189354.84169964655
1470,120329.69496120374
1471,169012.14518991834
1472,98901.73876234077
1473,99482.34800280316
1474,150480.09079923842
1475,130451.74328219453
1476,358334.4515209518
1477,251712.78330433974
1478,297874.7229762157
1479,284962.3029699023
1480,565754.8700747922
1481,324550.4765779185
1482,208607.6545326285
1483,173290.0113114315
1484,165805.5974128713
1485,183288.3834086211
1486,190199.87509626467
1487,327854.4044378433
1488,218602.29438806305
1489,200985.49857817308
1490,249008.30860454738
1491,191922.7494823252
1492,84911.24866287597
1493,176439.28226164114
1494,282655.5271995227
1495,283216.2232740748
1496,237731.8866088253
1497,173064.8530849103
1498,241815.47124938175
1499,159772.5748072058
1500,159625.55934654115
1501,184083.14235999234
1502,150671.7423306108
1503,321919.5911855183
1504,249538.2007932299
1505,233796.95901998208
1506,197025.26641527124
1507,257825.41105993083
1508,200771.79734357947
1509,161910.1792366897
1510,147119.46523378766
1511,212530.50800895027
1512,177388.56676786888
1513,139284.80280258134
1514,157269.7057301597
1515,207636.27556644336
1516,144715.36828240048
1517,177504.22446564664
1518,131029.37019194846
1519,207254.65363933175
1520,134499.26865326555
1521,136680.89074382003
1522,182866.00015956786
1523,115408.41898930825
1524,123931.11059769586
1525,122947.99837159598
1526,105201.29191347491
1527,113005.45583084335
1528,132245.79126084776
1529,156836.70792432845
1530,198733.55564715693
1531,106080.45665610874
1532,84305.28274413472
1533,153131.195597323
1534,93484.9325667043
1535,142494.66882482587
1536,106327.4358893987
1537,61830.00775788174
1538,139088.6508811132
1539,207532.16019787852
1540,75154.45303440116
1541,148451.69455496623
1542,142885.52095933777
1543,200924.41613391676
1544,81456.23703992844
1545,118329.97691096981
1546,140907.95339924667
1547,139175.18281899585
1548,133181.61450469962
1549,118353.9416131688
1550,137856.17622719062
1551,103509.85520508724
1552,135056.49190742325
1553,144137.0160400414
